movieCd,movieNm,movieNmEn,watchGradeNm,openDt,showTm,genreNm,directors
20187657,마일22,Mile22,"[{'auditNo': '2018-MF01457', 'watchGradeNm': '15세이상관람가'}]",20180823,94,"[{'genreNm': '액션'}, {'genreNm': '어드벤처'}, {'genreNm': '스릴러'}]","[{'peopleNm': '피터 버그', 'peopleNmEn': 'Peter Berg'}]"
20170670,목격자,The Witness,"[{'auditNo': '2018-MF01190', 'watchGradeNm': '15세이상관람가'}]",20180815,111,[{'genreNm': '스릴러'}],"[{'peopleNm': '조규장', 'peopleNmEn': 'CHO Kyu-jang'}]"
20183584,메가로돈,The Meg,"[{'auditNo': '2018-MF01181', 'watchGradeNm': '12세이상관람가'}, {'auditNo': '2018-MF01232', 'watchGradeNm': '12세이상관람가'}]",20180815,113,"[{'genreNm': '액션'}, {'genreNm': '공포(호러)'}, {'genreNm': 'SF'}]","[{'peopleNm': '존 터틀타웁', 'peopleNmEn': 'Jon Turteltaub'}]"
20187641,극장판 도라에몽: 진구의 보물섬,Doraemon the Movie: Nobita's Treasure Island,"[{'auditNo': '2018-MF01346', 'watchGradeNm': '전체관람가'}]",20180815,107,"[{'genreNm': '애니메이션'}, {'genreNm': 'SF'}, {'genreNm': '어드벤처'}]","[{'peopleNm': '이마이 카즈아키', 'peopleNmEn': 'Kazuaki Imai'}]"
20179101,공작,The Spy Gone North,"[{'auditNo': '2018-MF01305', 'watchGradeNm': '12세이상관람가'}]",20180808,137,[{'genreNm': '드라마'}],"[{'peopleNm': '윤종빈', 'peopleNmEn': 'YOON Jong-bin'}]"
20184802,몬스터 호텔 3,Hotel Transylvania 3: A Monster Vacation,"[{'auditNo': '2018-MF01304', 'watchGradeNm': '전체관람가'}]",20180808,97,"[{'genreNm': '애니메이션'}, {'genreNm': '코미디'}, {'genreNm': '가족'}, {'genreNm': '판타지'}]","[{'peopleNm': '젠디 타타코브스키', 'peopleNmEn': 'Genndy Tartakovsky'}]"
20187427,명탐정 코난 : 제로의 집행인,Detective Conan: Zero the Enforcer,"[{'auditNo': '2018-MF01293', 'watchGradeNm': '12세이상관람가'}]",20180808,110,[{'genreNm': '애니메이션'}],"[{'peopleNm': '타치카와 유즈루', 'peopleNmEn': 'Yuzuru Tachikawa'}]"
20186202,신과함께-인과 연,Along with the Gods: The Last 49 Days,"[{'auditNo': '2018-MF01211', 'watchGradeNm': '12세이상관람가'}]",20180801,141,"[{'genreNm': '판타지'}, {'genreNm': '드라마'}]","[{'peopleNm': '김용화', 'peopleNmEn': 'KIM Yong-hwa'}]"
20181181,미션 임파서블: 폴아웃,Mission:Impossible- Fallout,"[{'auditNo': '2018-MF01239', 'watchGradeNm': '15세이상관람가'}, {'auditNo': '2018-MF01263', 'watchGradeNm': '15세이상관람가'}]",20180725,147,"[{'genreNm': '액션'}, {'genreNm': '스릴러'}]","[{'peopleNm': '크리스토퍼 맥쿼리', 'peopleNmEn': 'Christopher McQuarrie'}]"
20183361,인크레더블 2,INCREDIBLES 2,"[{'auditNo': '2018-MF01174', 'watchGradeNm': '전체관람가'}]",20180718,125,"[{'genreNm': '애니메이션'}, {'genreNm': '액션'}, {'genreNm': '어드벤처'}, {'genreNm': '코미디'}, {'genreNm': '가족'}]","[{'peopleNm': '브래드 버드', 'peopleNmEn': 'Brad Bird'}]"
20186501,극장판 헬로카봇 : 백악기 시대,Hello Carbot the Movie: The Cretaceous Period,"[{'auditNo': '2018-MF01213', 'watchGradeNm': '전체관람가'}]",20180801,84,[{'genreNm': '애니메이션'}],"[{'peopleNm': '최신규', 'peopleNmEn': 'CHOI Shin-gyu'}, {'peopleNm': '김진철', 'peopleNmEn': 'KIM Jin-cheol'}]"
20185242,신비아파트: 금빛 도깨비와 비밀의 동굴,The Haunted House: The Secret of the Cave,"[{'auditNo': '2018-MF01191', 'watchGradeNm': '전체관람가'}]",20180725,67,"[{'genreNm': '애니메이션'}, {'genreNm': '판타지'}, {'genreNm': '어드벤처'}]","[{'peopleNm': '김병갑', 'peopleNmEn': 'KIM Byung-gap'}]"
20170942,인랑,ILLANG : THE WOLF BRIGADE,"[{'auditNo': '2018-MF01303', 'watchGradeNm': '15세이상관람가'}]",20180725,138,"[{'genreNm': 'SF'}, {'genreNm': '액션'}]","[{'peopleNm': '김지운', 'peopleNmEn': 'KIM Jee-woon'}]"
20181942,맘마미아!2,MAMMA MIA! HERE WE GO AGAIN,"[{'auditNo': '2018-MF01210', 'watchGradeNm': '12세이상관람가'}]",20180808,113,[{'genreNm': '뮤지컬'}],"[{'peopleNm': '올 파커', 'peopleNmEn': 'Ol Parker'}]"
20186121,어느 가족,SHOPLIFTERS,"[{'auditNo': '2018-MF01154', 'watchGradeNm': '15세이상관람가'}]",20180726,120,[{'genreNm': '드라마'}],"[{'peopleNm': '고레에다 히로카즈', 'peopleNmEn': 'Hirokazu Koreeda'}]"
20180522,앤트맨과 와스프,Ant-Man and the Wasp,"[{'auditNo': '2018-MF01124', 'watchGradeNm': '12세이상관람가'}, {'auditNo': '2018-MF01189 ', 'watchGradeNm': '12세이상관람가'}]",20180704,118,"[{'genreNm': '액션'}, {'genreNm': '어드벤처'}, {'genreNm': 'SF'}]","[{'peopleNm': '페이튼 리드', 'peopleNmEn': 'Peyton Reed'}]"
20185341,마녀,The Witch : Part 1. The Subversion,"[{'auditNo': '2018-MF01024', 'watchGradeNm': '15세이상관람가'}]",20180627,125,"[{'genreNm': '미스터리'}, {'genreNm': '액션'}]","[{'peopleNm': '박훈정', 'peopleNmEn': 'PARK Hoon-jung'}]"
